"pu_zone_id","cls","trip_count","fee_share_all","fee_share_dropoff_outside","verdict"
"45","crz","8177","0.9296808120337532","0.8425454545454546","ANOMALY: seeded CRZ, weak fee signal"
"209","crz","7100","0.9342253521126761","0.8268615806304248","ANOMALY: seeded CRZ, weak fee signal"
"232","crz","11434","0.9063319923036558","0.8173307729236677","ANOMALY: seeded CRZ, weak fee signal"
"88","crz","11660","0.9344768439108062","0.8128474366893144","ANOMALY: seeded CRZ, weak fee signal"
"264","control","4127","0.6571359340925612","0.49382716049382713","ANOMALY: unseeded zone, strong fee signal"
"146","control","3728","0.4696888412017167","0.2489353464963221","ANOMALY: unseeded zone, strong fee signal"
"256","control","6711","0.48025629563403366","0.14109967361285464","ANOMALY: unseeded zone, strong fee signal"
"7","control","9402","0.3688576898532227","0.14085545722713863","ANOMALY: unseeded zone, strong fee signal"
"226","control","7195","0.3267546907574705","0.1280431146627021","ANOMALY: unseeded zone, strong fee signal"
"179","control","3632","0.3551762114537445","0.1099290780141844","ANOMALY: unseeded zone, strong fee signal"
"114","crz","50851","0.989931368114688","0.98701055976077","ok"
"211","crz","26721","0.9894839264997567","0.9839053713399263","ok"
"229","crz","58143","0.9846413153776035","0.9829938061651928","ok"
"163","crz","82649","0.9823712325617975","0.9800983673055471","ok"
"79","crz","97155","0.9877618238896608","0.9799336939452102","ok"
"249","crz","76677","0.9891232051332212","0.9798178852949171","ok"
"148","crz","45429","0.9855598846551762","0.9780685450895844","ok"
"161","crz","140869","0.9826221524962909","0.9777766184986175","ok"
"162","crz","104765","0.9828759604829858","0.9777158116123543","ok"
"144","crz","37716","0.9861597200127267","0.976590268415247","ok"
"113","crz","47726","0.9864434480157566","0.975833685099198","ok"
"234","crz","90778","0.9866707792636983","0.9740124223602484","ok"
"230","crz","102465","0.9768994290733422","0.9713441274736572","ok"
"48","crz","79691","0.9781531164121419","0.9706548405359502","ok"
"186","crz","107032","0.9807440765378579","0.9701550387596899","ok"
"164","crz","66727","0.9821661396436225","0.9686337914308811","ok"
"158","crz","31456","0.9878560528992879","0.9682302062541583","ok"
"12","crz","651","0.9708141321044547","0.959349593495935","ok"
"68","crz","86933","0.9804102009593595","0.9593057506684189","ok"
"233","crz","37140","0.9757135164243403","0.9553355501813785","ok"
"90","crz","52500","0.9795238095238096","0.949010584445467","ok"
"107","crz","68408","0.977882703777336","0.9485142689026184","ok"
"170","crz","88868","0.9737025701039744","0.9476181649675626","ok"
"224","crz","9145","0.9788955713504648","0.9468659194686592","ok"
"100","crz","44456","0.9684631995681123","0.9414122725871107","ok"
"125","crz","16361","0.9775686082757777","0.9373125374925015","ok"
"246","crz","60575","0.9735204292199753","0.9344147671654314","ok"
"50","crz","23540","0.9599830076465591","0.9243076244069293","ok"
"13","crz","20628","0.9725615668024045","0.9216579366886813","ok"
"87","crz","23275","0.9702255639097744","0.9159493670886076","ok"
"4","crz","15647","0.9651051319741804","0.910868576625739","ok"
"231","crz","47017","0.9670332007571729","0.8961924606933132","ok"
"137","crz","46051","0.9486221797572257","0.8718213058419244","ok"
"261","crz","14469","0.949063515101251","0.8633737723859041","ok"
"142","buffer","105625","0.5745041420118343","0.2962686685606361","ok"
"43","buffer","41621","0.5823983085461666","0.27024708304735756","ok"
"237","buffer","153952","0.5022799314071918","0.21375632776524642","ok"
"143","buffer","42327","0.5235901434072814","0.19089060593737292","ok"
"141","buffer","83541","0.49063334171245254","0.16968999325209383","ok"
"140","buffer","73566","0.4570861539298045","0.12931477468218683","ok"
"145","control","6927","0.34849141042298254","0.0866956341816677","ok"
"193","control","2044","0.3287671232876712","0.08166089965397924","ok"
"70","control","7196","0.45136186770428016","0.0798359864930053","ok"
"66","control","4165","0.5334933973589436","0.07797940166748406","ok"
"138","control","83254","0.4904749321353929","0.073064048203526","ok"
"260","control","2781","0.19633225458468176","0.07198275862068966","ok"
"255","control","8753","0.417114132297498","0.07142857142857142","ok"
"262","control","52196","0.3851636140700437","0.060792085108919154","ok"
"263","control","70729","0.34783469298307623","0.05832677898745705","ok"
